,text,sentiment,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment_encoded,sentiment_textblob
63,better way spoil mum let kick back relax nice meal bottle favorite wine? wine red,positive,30,135,3.533333333333333,13,0,0,0,2,positive
64,mannnn..... _ iphone!!! im jealous.... ,negative,9,66,7.25,1,0,0,0,0,neutral
65,photoshoot.,neutral,4,19,4.0,2,0,0,0,1,neutral
66,he`s awesome... worked before? he`s friend.,positive,14,70,4.75,4,0,0,0,2,positive
67,yay playing show tonight! boo gonna soggy work right playing,neutral,16,85,4.375,4,0,0,0,1,positive
68,chilliin,positive,1,8,8.0,0,0,0,0,2,neutral
69,"know agent, let know",neutral,10,39,3.3333333333333335,4,0,0,0,1,neutral
70,still smell smoke #kitchenfire,neutral,7,36,5.0,1,1,0,1,1,neutral
71,celtics-lakers rematch sounds better don`t think? lol,positive,10,60,5.666666666666667,2,0,0,0,2,positive
72,"anyone extra keane ticket? promise buy drink take rad pics fb / blog / flickr., etc",neutral,25,115,3.64,8,0,0,2,1,neutral
73,"'you ride one, catch one, summer til pop open one' ?",neutral,19,81,3.5,7,0,0,0,1,neutral
74,good! gor-juz yea kno asked yesterday tha hospital talked u said,neutral,28,120,3.4444444444444446,16,0,0,0,1,positive
75,ok now. popped say hi check things. i`ll probably head guttah later tonight,neutral,27,125,3.6666666666666665,11,0,0,1,1,positive
76,"wow, really missin fam(ily) today. baddd.",negative,9,50,4.666666666666667,1,0,0,6,0,positive
77,sources say,neutral,5,18,3.5,1,0,0,0,1,neutral
78,sooo tired,negative,4,15,3.0,1,0,0,1,0,negative
79,"hey, change twitter account, didn`t even tell me...",neutral,13,69,4.75,4,0,0,0,1,neutral
80,thank yyyyyyyyyoooooooooouuuuu!,positive,3,32,15.0,0,0,0,2,2,neutral
81,lucky kid...i wanna see loserville pity im oz....,positive,12,57,4.6,2,0,0,0,2,positive
82,fell asleep waiting ride!,neutral,6,32,4.5,2,0,0,0,1,neutral
83,sick. flu thing.,negative,6,28,3.8333333333333335,1,0,0,0,0,negative
84,"still reply simfinger problem irape parody video response, sorry guys",negative,22,108,4.35,7,0,0,1,0,negative
85,happy star wars everyone! enjoy holiday (uk),positive,10,56,4.7,2,0,0,1,2,positive
86,miles essex give plenty warning arrive time least one free beers.,neutral,30,124,3.5185185185185186,13,0,0,1,1,positive
87,"snoring annoying n keeps sleeping (like right now, lol) honestly wud miss eva left love him.",neutral,29,131,3.6785714285714284,9,0,0,2,1,positive
88,miss bby wish tomorrow make good.,negative,19,68,3.5714285714285716,7,0,0,0,0,positive
89,well im working isn`t quite ready post publicly (still beta testing) cool new script coded,positive,24,120,4.217391304347826,7,0,0,2,2,positive
90,sweeeeet san fran awesome!!!! love,positive,11,50,4.444444444444445,3,0,0,1,2,positive
91,_mounce yes lasts way past bedtime!,neutral,9,45,4.111111111111111,3,0,0,0,1,negative
92,hi ??? *just joined twitter...*,neutral,12,52,4.555555555555555,4,0,0,0,1,neutral
93,waiting sleeping pills kick in... gonna tired work tomorrow,negative,14,75,4.428571428571429,5,0,0,0,0,negative
94,eating ice cream getting ready graduation.,neutral,9,55,5.222222222222222,3,0,0,0,1,positive
95,happy mothers mums,positive,9,43,3.888888888888889,5,0,0,0,2,positive
96,"casey`s gone?!?! why?! so, piddled little carpet. she`s prolly freaked cause new. back?",negative,24,125,4.434782608695652,6,0,0,4,0,negative
97,hemp cloth marvelous unfortunately,negative,8,45,5.428571428571429,3,0,0,0,0,positive
98,gonna read story bout adam lambert online bed. nighty night,neutral,12,66,4.583333333333333,2,0,0,0,1,neutral
99,saw none 3d baddie`s best,positive,12,47,3.272727272727273,4,0,0,1,2,positive
100,4am. im beach. pretty,positive,7,32,3.7142857142857144,2,0,0,0,2,positive
101,"certainly cheers than, huh?",neutral,6,32,5.4,1,0,0,0,1,positive
102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces starting emerge hand! ouch!",negative,19,136,6.2105263157894735,4,0,1,0,0,negative
103,realy wanted cause nice everybodys busy,negative,13,62,3.8461538461538463,6,0,0,0,0,positive
104,awesome. ocean beach (if know is.) way. 'yourbiggestfan' re-al big fan you-rs.,positive,25,123,4.304347826086956,8,0,0,0,2,positive
105,least watch time let`s pens!!,neutral,12,50,3.5454545454545454,3,0,0,1,1,negative
106,cool wear black time,neutral,13,49,3.0833333333333335,7,0,0,0,1,positive
107,haha know work blip apart obvious! thanks reblipping song nice ****,positive,25,112,3.8260869565217392,10,0,0,1,2,positive
108,safe trip joshy poo.......you`ll knock dead speech,positive,13,71,4.916666666666667,5,0,0,0,2,positive
109,"woof, wish allowed",positive,9,33,3.125,2,0,0,2,2,neutral
110,u friendster add me!!!!!!!!! email adress add loco_crime_1st.com add leave comment,neutral,38,126,4.944444444444445,7,0,0,0,1,neutral
111,tickets.......?,neutral,4,21,9.0,1,0,0,0,1,neutral
112,"thank you, afrin nasal spray! also, giant teacup tonight!",positive,12,65,4.5,1,0,0,1,2,neutral
113,acsm. unfathomable. think one .. .. one kept comfort bedrooms. yes?,neutral,27,126,4.0,13,0,0,1,1,neutral
114,"aww, love daddy! works 7 days week almost still tries sf us",positive,25,102,3.12,9,0,1,2,2,positive
115,many tests todayyy don`t feel confident anyy.,negative,11,57,4.7,1,0,0,1,0,positive
116,graduation done im little sad.. anyone want hang out???,negative,13,64,4.333333333333333,3,0,0,0,0,negative
117,hahaa awesomee !,positive,5,22,4.5,1,0,0,0,2,neutral
118,holy smokes! star trek freaking awesomeeeee,positive,7,47,5.857142857142857,1,0,0,0,2,neutral
119,"hate fallout 3 keeps making jump, also low health, money, ammo food don`t worry i`ll it.",neutral,25,120,4.0,5,0,1,1,1,negative
120,"it! itunes, lost songs.",neutral,14,54,3.1538461538461537,6,0,0,2,1,neutral
121,what`s gloomy weather? sun must tired come play heading victoria gardens impulse buys haha,neutral,26,134,4.36,10,0,0,0,1,negative
122,"looking forward next week: maths, geography, english french exams, totalling 7 hours",negative,15,95,5.4,2,0,1,0,0,neutral
123,"poor outside sleep garden, sun good. don`t forget suncream!!!",negative,21,102,4.315789473684211,8,0,0,0,0,positive
124,well,negative,2,8,3.5,1,0,0,0,0,neutral
125,prob hun,positive,5,15,2.75,1,0,0,0,2,neutral
126,"dads, watching mtv sims2 minutee",neutral,13,61,3.769230769230769,7,0,0,0,1,neutral
127,absolutely,neutral,2,11,10.0,0,0,0,0,1,positive
128,what`s matter chickadee?,neutral,5,29,6.25,1,0,0,0,1,neutral
129,hey mia! totally adore music. cd out?,positive,15,63,4.083333333333333,5,0,0,0,2,neutral
130,"shopping. cleaning. bmfing. webcam chatting nephews. nothing spesh, bank holiday monday nonetheless",positive,16,115,6.25,3,0,0,0,2,neutral
131,=o need ask something? lmao love,positive,13,54,3.5,5,0,0,2,2,positive
132,splinters look painful...but heroic saving mr. pickle,negative,14,85,5.538461538461538,6,0,0,0,0,positive
133,sad?,negative,5,17,3.25,3,0,0,0,0,negative
134,nice see tweeting! sunday 10th may we`re celebrating mother`s today. nice yer mom,positive,24,117,4.2727272727272725,6,0,0,0,2,positive
135,decided 2 trans frm relaxed 2 natural hair wish whole head looked roots. age instant gratification....,positive,24,127,4.521739130434782,6,0,2,0,2,positive
136,namaskar & namaste r same. marathi people say namaskar! marathi word.... ? ...naaaah !,neutral,21,111,4.55,6,0,0,0,1,neutral
137,"congrats! cuss matter minutes, didn`t know reward it.",neutral,23,104,3.9047619047619047,10,0,0,1,1,neutral
138,humous dorito`s.... oh yes,neutral,5,30,5.2,1,0,0,0,1,neutral
139,"missed awesome weather, movie!",negative,11,59,4.454545454545454,7,0,0,0,0,positive
140,today normal hope. group pilots large airline come last night much drink,neutral,31,135,3.3870967741935485,15,0,0,1,1,positive
141,"kids terrible! evans, i`d call childline",negative,13,67,4.230769230769231,3,0,0,1,0,negative
142,"unfortunatley, aerlingus longer fly copenhagen we`re fly ryanair billund drive copenhagen one days!",negative,24,136,4.708333333333333,11,0,0,0,0,positive
143,"what`s sad actually google term. sucks, tho.",negative,15,72,4.142857142857143,5,0,0,1,0,negative
144,hate fighting,negative,2,13,6.0,0,0,0,0,0,negative
145,"watched too!!! didnt want win, put fight..lol",neutral,18,80,3.7058823529411766,7,0,0,2,1,positive
146,car-warmed sprite tastes sore throat,negative,6,41,6.0,0,0,0,0,0,neutral
147,came 11th cross country beat dumbo,neutral,9,46,4.222222222222222,2,0,0,0,1,neutral
148,candle wax enjoyable.,positive,5,29,5.0,2,0,0,0,2,positive
149,"she`s unassuming unpretentious. she`s just, as. suppose that`s she`s endearing--because relate",positive,20,122,5.421052631578948,7,0,0,1,2,neutral
150,tomorrow valeria`s lunch!!! hair done im arraving late cousins babtizm whatever spell,neutral,24,124,4.590909090909091,7,0,0,0,1,negative
151,goooooddd morning tweets!! week three workout. mention new glasses yesterday?!?,positive,18,101,4.9411764705882355,5,0,0,1,2,positive
152,too. hate computer much..,negative,9,37,3.625,3,0,0,1,0,negative
153,fine! big walk today 20 miles,positive,13,51,3.25,5,0,1,0,2,positive
154,want red cruisers!! don`t ones. lmfao!,negative,12,58,4.2727272727272725,3,0,0,5,0,neutral
155,mmmmmmmm... ? morning,neutral,6,31,4.333333333333333,3,0,0,0,1,neutral
156,neither,neutral,3,11,4.5,1,0,0,0,1,neutral
157,"10 hours work do, sunday. boo. find time two hour lunchbreak though. yeah",neutral,22,104,3.772727272727273,7,0,1,1,1,neutral
158,bugger. forgot still washing machine,negative,9,49,4.555555555555555,3,0,0,1,0,neutral
159,"_laurie sending love, blessings & healing thoughts & family peace",positive,13,73,5.083333333333333,2,0,0,0,2,positive
160,back hurts...really bad,negative,4,26,5.75,0,0,0,0,0,negative
161,"ah yes, know feeling",neutral,7,28,3.6666666666666665,1,0,0,1,1,neutral
162,night cookers dad,neutral,7,32,3.7142857142857144,4,0,0,0,1,neutral
163,modem offline week now... god bless 3g network. tim left... again!! may schedule brutal,negative,23,123,4.391304347826087,8,0,0,0,0,negative
164,nope coquitlam,neutral,6,23,3.6,2,0,0,1,1,neutral
165,parent teacher thing yesterday!! boring skl saturday!! lol,negative,15,79,5.0,2,0,0,0,0,negative
166,#lichfield #tweetup sounds fun hope see everyone else there!,positive,16,79,4.923076923076923,3,2,0,0,2,positive
167,big booming thunder storm almost here. maybe home early??? ah... probably not.,neutral,18,94,4.8125,3,0,0,0,1,positive
168,bevvies 2day twn..great off!!,positive,9,45,4.111111111111111,3,0,0,0,2,neutral
169,first night myers. w/out lydia! actually excited summer!,positive,18,97,4.705882352941177,8,0,0,0,2,positive
170,morning,positive,3,13,5.5,0,0,0,0,2,neutral
171,best show ever!,positive,6,24,3.8,2,0,0,1,2,positive
172,url previous post (to timer job)  i`d removed space messed url. ^es,negative,19,110,5.111111111111111,5,0,0,3,0,negative
173,think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha :l .,neutral,24,120,4.217391304347826,9,0,0,1,1,positive
174,want know auditions mander! text or...reply please!,neutral,13,70,4.833333333333333,4,0,0,1,1,neutral
175,even nooooo secret namerebecca please,negative,8,48,5.125,1,0,0,6,0,negative
176,miss neice can`t wait see bad n grown ****! lol,negative,16,61,3.2857142857142856,3,0,0,1,0,negative
177,need computer fixed,neutral,7,31,3.5714285714285716,3,0,0,0,1,positive
178,really hopes car`s illness terminal...,negative,8,49,5.25,3,0,0,0,0,positive
179,"cool people want find following today #english, guess english don`t tweet.",neutral,20,105,4.3,6,1,0,2,1,positive
180,sir...i woulda put honey...but don`t,neutral,10,51,4.666666666666667,4,0,0,0,1,neutral
181,watched x-men origins: wolverine? totally loved it! haha,positive,10,62,5.3,2,0,0,0,2,positive
182,voted!!! u personal myspace? keep talking fakes <3 you. u helped thru hrdest time life! (: x,positive,31,127,3.4642857142857144,10,0,0,2,2,positive
183,sad missed guys last night!,negative,10,43,3.7777777777777777,2,0,0,1,0,negative
184,finally call marriage counseling 3 days late....,neutral,10,58,4.9,2,0,1,0,1,negative
185,ok,neutral,3,8,3.0,1,0,0,0,1,positive
186,_420 baby?,neutral,3,14,4.0,1,0,0,0,1,neutral
187,today last high school ended home sick! ... stupid dead rats,negative,21,97,3.6666666666666665,8,0,0,0,0,negative
188,we`re impromptu pool party... except don`t know swim can`t,neutral,18,89,4.0,6,0,0,2,1,neutral
189,lost tooth 2day whilst eating gum...oww,negative,9,48,4.444444444444445,3,0,0,0,0,neutral
190,happy 1 year! <3,positive,4,16,3.25,0,0,1,0,2,positive
191,"oh, hella forgot say official morning hear it? go! goooooooooooood morrrrrrrrning twitterville! lol",positive,22,129,5.142857142857143,4,0,0,2,2,positive
192,*phew* make note case anyone else runs issueã¯â¿â½,neutral,16,76,4.357142857142857,5,0,0,0,1,neutral
193,?? vote every !!!!!,negative,14,50,3.3636363636363638,0,0,0,9,0,neutral
194,starving!! diet killing can`t eat 8pm,negative,13,64,4.0,4,0,0,1,0,neutral
195,talk,neutral,5,14,2.5,3,0,0,0,1,neutral
196,im soo bored...im deffo missing music channels,negative,8,49,5.25,1,0,0,0,0,negative
197,nite nite bday girl fun concert,positive,10,41,4.0,2,0,0,0,2,positive
198,"nicotine replacement patch 4 hours. far, good, sleep 4 hours. getting bit twitchy",neutral,27,132,3.925925925925926,11,0,2,1,1,positive
199,_sanderson what`s twatter lately? either can`t replies don`t turn up!,neutral,17,91,4.6875,4,0,0,1,1,negative
200,sleeping. lost voice couple ago.,negative,11,52,4.2,4,0,0,0,0,neutral
201, hate parked car gets hit,negative,10,60,5.666666666666667,2,0,0,1,0,negative
202,i`ve heard fall. waiting too!,neutral,8,39,4.571428571428571,1,0,0,0,1,neutral
203,nightmares? *huggles*,neutral,5,28,8.0,1,0,0,0,1,neutral
204,creeper feel disappointed it. **** cyberstalking skills internet = privacy.,negative,24,118,4.523809523809524,6,0,0,6,0,negative
205,bed late headache,negative,9,41,3.6666666666666665,4,0,0,1,0,negative
206,happy mother`s moms there...,positive,8,43,4.5,3,0,0,0,2,positive
207,grabbing coffee making mom breakfast,neutral,8,47,5.714285714285714,2,0,0,0,1,neutral
208,im thinking im fun tonight....and maybe changes coming,positive,14,82,4.928571428571429,5,0,0,0,2,positive
209,thanks. major chop.,neutral,6,31,5.2,2,0,0,0,1,positive
210,"haha know, cant handle fame! thank you!",positive,13,53,3.727272727272727,2,0,0,2,2,positive
211,updated ipod,neutral,7,31,3.5714285714285716,4,0,0,0,1,neutral
212,yes! sober hahaha tanghaling tapat dude! haha wild. don`t kno plan plan us!,positive,21,101,4.5,4,0,0,3,2,positive
213,never miss icarly son huge crush miranda,positive,14,58,3.4615384615384617,4,0,0,0,2,positive
214,saw james carville store today. head really bald,neutral,13,67,4.230769230769231,4,0,0,0,1,positive
215,yellow ? ,neutral,6,36,7.75,1,0,0,0,1,neutral
216,means you`re come back vancouver way! hahah,neutral,19,91,4.055555555555555,10,0,0,0,1,neutral
217,feeling smooth chrome,positive,4,26,5.75,0,0,0,0,2,positive
218,ew traffic,negative,2,10,4.5,0,0,0,0,0,neutral
219,"downloading songs trying sneak lil homework too, main priority songs lol",neutral,20,109,4.5,9,0,0,0,1,positive
220,@_ra_ra_ alone...i need coffee too.,neutral,7,44,5.428571428571429,2,0,0,0,1,neutral
221,sounds,neutral,4,15,4.0,1,0,0,0,1,neutral
222,bad realize mess you`ve put one happiest days life...,neutral,23,107,3.8636363636363638,10,0,0,0,1,negative
223,walking class. hate bike....especially mine.,negative,10,62,5.3,4,0,0,1,0,negative
224,_nesmith,neutral,1,8,8.0,0,0,0,0,1,neutral
225,"failed inspection. know pass wo/oven, wo/anti-tip bracket, sold w/oven? worse taxes.",negative,23,135,4.913043478260869,10,0,0,0,0,negative
226,"jonas brothers live party. rocking hard love song,",positive,33,88,4.0,3,0,0,3,2,positive
227,happy mother`s mothers world.,positive,10,51,4.2,5,0,0,0,2,positive
228,"35mins 1hr 20mins google wave demo, looks lot fun, would love test though. ",positive,22,123,4.857142857142857,7,0,0,0,2,positive
229,sleepy tabz heading bed. fun night! listened next episode joss`d!,positive,16,87,4.8,5,0,0,0,2,positive
230,exception short dude: larenz fineass tate yum,neutral,10,55,4.6,2,0,0,0,1,neutral
231,"screw reviews, thought wolverine awesome. enough dominic monaghan liking.",positive,16,98,5.1875,5,0,0,1,2,positive
232,"followed us recently, please dont offended haven`t followed back. hit limit. hopefully free soon.",positive,26,135,4.583333333333333,8,0,0,1,2,positive
233,yes work 6 3...,neutral,7,21,2.5,2,0,1,0,1,neutral
234,"hmmm, maybe that`s meant. eluded something brand new know media",neutral,20,101,4.315789473684211,8,0,0,0,1,positive
235,done spa meeting vic late lunch!,neutral,13,54,3.8181818181818183,5,0,0,0,1,negative
236,happy monday tavares today. hope everyone blessed day!,positive,16,83,4.533333333333333,6,0,0,0,2,positive
237,always wanted oz,neutral,8,31,3.4285714285714284,3,0,0,0,1,neutral
238,thx,neutral,2,4,3.0,0,0,0,0,1,neutral
239, cool... luv,positive,6,42,7.4,1,0,0,0,2,positive
240,that`s need there...to represent blackberries,positive,12,63,5.2,4,0,0,1,2,neutral
241,okay dedicating 300th tweet fact apple store huge crack glass screen!,neutral,27,134,4.0,13,0,0,1,1,positive
242,could ever actually allowed stay,neutral,15,67,3.7857142857142856,8,0,0,0,1,neutral
243,let know turns out!!,neutral,8,33,3.7142857142857144,3,0,0,0,1,neutral
244,sass detect? long isn`t back sass! haha,neutral,15,61,3.6153846153846154,4,0,0,1,1,positive
245,"yeah thinking ,ahaha",positive,8,38,4.428571428571429,3,0,0,1,2,neutral
246,sports bar shatranjanpoli rest ph 26498457 sports bar andheri w 26733333 dont know whether helps. google ki jai ho,neutral,22,124,4.904761904761905,1,0,2,1,1,neutral
247,sleeping accepts appology,negative,10,50,4.555555555555555,5,0,0,0,0,neutral
248,"wolverine boss! seriously, will.i.am it, **** ??",negative,13,72,4.615384615384615,0,0,0,1,0,negative
249,"live pain, bring",neutral,8,29,3.142857142857143,3,0,0,1,1,positive
250,"okay, back later!",neutral,9,38,3.75,4,0,0,0,1,positive
251,#powerblog powerblog challenge keep talking about? newbie follower,neutral,17,92,5.428571428571429,4,1,0,0,1,neutral
252,almost died. laptop screen set 100% brightness reinstalled windows vista. headache #insanedefaults,positive,20,124,5.526315789473684,5,1,0,1,2,neutral
253,waiting tish off. drive moms crv pick duckie. first time,neutral,23,105,3.608695652173913,11,0,0,1,1,positive
254,"trying decide movie friends.. well! lol :p bible study 2nite, means ****-day cake buy own??",negative,28,135,4.153846153846154,9,0,0,0,0,positive
255,shower don`t want smell school tomorrow,neutral,12,64,4.416666666666667,5,0,0,0,1,neutral
256,sigh... know am...,neutral,6,25,4.0,1,0,0,1,1,neutral
257,"discovered cause bug new #netplayer 4 build. publishing bug fix now, hopefully new beta tomorrow",positive,20,111,4.6,5,1,1,0,2,positive
258,4 free twitter tools followers    ,neutral,15,137,8.785714285714286,3,0,1,1,1,positive
259,home work.... chugging big bottle apple juice.,neutral,15,77,4.2,7,0,0,0,1,neutral
260,yes does. please dont` go. die cry.. normally leads small animals getting harmed,negative,21,107,4.35,5,0,0,1,0,negative
261,writing report cards soooo tired amazing day. check fb soon!,positive,17,83,4.1875,6,0,0,0,2,positive
262,big brother...and done,neutral,12,55,4.0,7,0,0,0,1,neutral
263,news: finally finished #easactive workout paused 6 hours. bad news: resistance band torn,neutral,21,120,4.761904761904762,7,1,1,0,1,negative
264,"well morning all, wonderful neighborhood thanks following another 60 morning",positive,24,132,4.739130434782608,10,0,1,0,2,positive
265,ftsk mercy mercedes amazing tonight.. always,positive,9,56,5.333333333333333,3,0,0,1,2,positive
266,hope ok!,positive,6,16,2.75,2,0,0,0,2,positive
267,can`t school done already? hurts much... seeing every,positive,14,76,4.5,5,0,0,0,2,positive
268,"waited, listening wind blowing tumbleweed? none old enough know someone says 'crackerack'?",neutral,24,137,4.75,10,0,0,1,1,positive
269,hell yeah!,neutral,3,11,4.5,0,0,0,0,1,neutral
270,shirt dinner? need ask?? actually ville it?,neutral,18,78,3.8125,6,0,0,1,1,neutral
271,know!!,neutral,3,9,3.5,1,0,0,0,1,neutral
272,huh ****? smelly? noooo. love alex vixon,neutral,11,52,4.2,2,0,0,1,1,positive
273,"went party last night. dindin showed matching outfits ) great minds think alike ) anyway, happy birthday, ate lara",positive,25,131,4.28,5,0,0,5,2,positive
274,"happy b-day! woke side earth, wishes bit late",positive,16,72,3.8,6,0,0,0,2,positive
275,"thank teaching values better person love much, you`re best mum world",positive,26,117,3.68,8,0,0,11,2,positive
276,happy mothers day.!,positive,3,19,5.666666666666667,0,0,0,3,2,positive
277,"*laughs* glad self confidence wonderful trait i`ll applaud extra loud it, okay?",positive,24,120,4.409090909090909,7,0,0,0,2,positive
278,thanks,positive,3,8,6.0,0,0,0,0,2,positive
279,twittering 2 days!,neutral,4,24,5.25,1,0,1,0,1,neutral
280,getting ready week nice today stuck inside working!,positive,14,70,4.384615384615385,4,0,0,0,2,positive
281,tres depressed,negative,4,19,4.0,1,0,0,1,0,neutral
282,"felt ****, behaved son; ate compensate. pigged home-roasted sugar almonds. painful tum, threw up, still feel sick.",negative,23,137,5.0,4,0,0,0,0,negative
283,happy mothers people. love mom lot still,positive,11,51,3.727272727272727,3,0,0,0,2,positive
284,sorry hear that.,negative,6,24,3.8,1,0,0,0,0,negative
285,"that`s awesome dude, yay surprise celebrities! meet years ago, soooo friendly.",positive,22,110,4.45,7,0,0,1,2,positive
286,"makes happy hear girl talk, tweet, nba. but... could give nuggets love?!",positive,23,109,3.9545454545454546,10,0,0,0,2,positive
287,getting hang twitter.,neutral,6,31,4.333333333333333,2,0,0,0,1,neutral
288,know neck jacked forced pay parking bc can`t turn head parallel park free spaces...,negative,28,136,3.892857142857143,13,0,0,0,0,positive
289,want back now!: ,neutral,6,40,5.833333333333333,1,0,0,3,1,neutral
290,miss roomie ... longer roomies starting tomorrow,negative,14,74,4.357142857142857,5,0,0,0,0,neutral
